Parent1,Parent2,Child 
Jolthog,Sweepa,Melpaca
Jolthog,Azurmane,Melpaca
Jolthog Cryst,Nitewing,Melpaca
Jolthog Cryst,Sweepa,Melpaca
Univolt,Gobfin,Melpaca
Univolt,Gobfin Ignis,Melpaca
Foxparks,Faleris,Melpaca
Foxparks,Ragnahawk,Melpaca
Bristla,Sibelyx,Melpaca
Bristla,Wumpo,Melpaca
Lunaris,Vanwyrm,Melpaca
Lunaris,Blazehowl Noct,Melpaca
Lunaris,Dogen,Melpaca
Pengullet,Nitewing,Melpaca
Pengullet,Mossanda,Melpaca
Dazzi,Surfent,Melpaca
Gobfin,Katress Ignis,Melpaca
Gobfin Ignis,Blazehowl Noct,Melpaca
Gobfin Ignis,Dazemu,Melpaca
Lamball,Jormuntide,Melpaca
Lamball,Mammorest,Melpaca
Jormuntide,Cattiva,Melpaca
Jormuntide Ignis,Cattiva,Melpaca
Jormuntide Ignis,Cremis,Melpaca
Loupmoon,Kitsun,Melpaca
Loupmoon,Dinossom,Melpaca
Loupmoon,Tarantriss,Melpaca
Hangyu,Pyrin,Melpaca
Hangyu,Quivern,Melpaca
Hangyu,Prixter,Melpaca
Hangyu Cryst,Pyrin,Melpaca
Hangyu Cryst,Quivern,Melpaca
Hangyu Cryst,Prixter,Melpaca
Pyrin,Sparkit,Melpaca
Elphidran,Daedream,Melpaca
Elphidran,Gumoss,Melpaca
Elphidran Aqua,Tanzee,Melpaca
Elphidran Aqua,Gumoss,Melpaca
Elphidran Aqua,Smokie,Melpaca
Melpaca,Melpaca,Melpaca
Melpaca,Reindrix,Melpaca
Surfent,Fuddler,Melpaca
Surfent Terra,Fuddler,Melpaca
Surfent Terra,Daedream,Melpaca
Cawgnito,Katress,Melpaca
Cawgnito,Katress Ignis,Melpaca
Azurobe,Kelpsea Ignis,Melpaca
Azurobe,Flopie,Melpaca
Cattiva,Reptyro,Melpaca
Depresso,Mossanda Lux,Melpaca
Depresso,Azurmane,Melpaca
Fenglope,Arsox,Melpaca
Fenglope,Chillet,Melpaca
Fenglope,Chillet Ignis,Melpaca
Fenglope,Croajiro,Melpaca
Reptyro,Vixy,Melpaca
Reptyro,Cremis,Melpaca
Maraith,Vanwyrm Cryst,Melpaca
Maraith,Omascul,Melpaca
Robinquill,Tombat,Melpaca
Robinquill,Foxcicle,Melpaca
Robinquill Terra,Petallia,Melpaca
Relaxaurus,Chikipi,Melpaca
Relaxaurus Lux,Chikipi,Melpaca
Kitsun,Lovander,Melpaca
Kitsun,Yakumo,Melpaca
Leezpunk,Vanwyrm,Melpaca
Leezpunk,Bushi Noct,Melpaca
Leezpunk Ignis,Bushi,Melpaca
Leezpunk Ignis,Omascul,Melpaca
Fuack,Sibelyx,Melpaca
Fuack,Kingpaca Cryst,Melpaca
Vanwyrm,Dazzi Noct,Melpaca
Vanwyrm Cryst,Wixen,Melpaca
Vanwyrm Cryst,Wixen Noct,Melpaca
Vanwyrm Cryst,Rooby,Melpaca
Chikipi,Warsect Terra,Melpaca
Sparkit,Faleris,Melpaca
Sparkit,Starryon,Melpaca
Felbat,Foxcicle,Melpaca
Broncherry,Mozzarina,Melpaca
Broncherry Aqua,Caprity,Melpaca
Broncherry Aqua,Lovander,Melpaca
Faleris,Flambelle,Melpaca
Reindrix,Dumud,Melpaca
Vixy,Elizabee,Melpaca
Wixen Noct,Omascul,Melpaca
Lovander,Fenglope Lux,Melpaca
Hoocrates,Mossanda Lux,Melpaca
Hoocrates,Ragnahawk,Melpaca
Kelpsea,Penking,Melpaca
Kelpsea,Grintale,Melpaca
Kelpsea Ignis,Grintale,Melpaca
Killamari,Wumpo Botan,Melpaca
Killamari,Cinnamoth,Melpaca
Mozzarina,Celaray,Melpaca
Wumpo,Ribbuny,Melpaca
Wumpo Botan,Swee,Melpaca
Vaelet,Shroomer,Melpaca
Vaelet,Shroomer Noct,Melpaca
Vaelet,Splatterina,Melpaca
Flopie,Cinnamoth,Melpaca
Beegarde,Blazehowl,Melpaca
Beegarde,Katress,Melpaca
Beegarde,Nitemary,Melpaca
Arsox,Verdash,Melpaca
Verdash,Chillet Ignis,Melpaca
Verdash,Petallia,Melpaca
Daedream,Sootseer,Melpaca
Tanzee,Penking,Melpaca
Kingpaca,Swee,Melpaca
Kingpaca,Ribbuny,Melpaca
Kingpaca,Foxparks Cryst,Melpaca
Ribbuny,Xenovader,Melpaca
Bushi Noct,Kikit,Melpaca
Celaray,Lullu,Melpaca
Flambelle,Starryon,Melpaca
Yakumo,Tarantriss,Melpaca
Yakumo,Fenglope Lux,Melpaca
Dogen,Dazzi Noct,Melpaca
Xenovader,Foxparks Cryst,Melpaca
Nyafia ,Wumpo,Surfent
Nyafia ,Wumpo Botan,Surfent
Nyafia ,Kingpaca,Surfent
Nyafia ,Xenovader,Surfent
Prunelia,Pyrin,Surfent
Prunelia,Faleris,Surfent
Prunelia,Quivern,Surfent
Prunelia,Prixter,Surfent
Prunelia,Starryon,Surfent
Gildane,Vanwyrm Cryst,Surfent
Anubis,Elphidran,Surfent
Anubis,Surfent Terra,Surfent
Anubis,Sootseer,Surfent
Incineram,Elphidran Aqua,Surfent
Incineram,Penking,Surfent
Incineram Noct,Elphidran,Surfent
Incineram Noct,Elphidran Aqua,Surfent
Incineram Noct,Sootseer,Surfent
Eikthyrdeer,Grizzbolt,Surfent
Eikthyrdeer,Helzephyr,Surfent
Eikthyrdeer Terra,Lyleen Noct,Surfent
Eikthyrdeer Terra,Beakon,Surfent
Eikthyrdeer Terra,Silvegis,Surfent
Digtoise,Relaxaurus Lux,Surfent
Digtoise,Warsect Terra,Surfent
Digtoise,Menasting,Surfent
Digtoise,Knocklem,Surfent
Digtoise,Xenolord ,Surfent
Galeclaw,Jetragon,Surfent
Galeclaw,Paladius,Surfent
Grizzbolt,Mozzarina,Surfent
Grizzbolt,Lullu,Surfent
Direhowl,Suzaku,Surfent
Direhowl,Shadowbeak,Surfent
Gorirat,Paladius,Surfent
Gorirat,Necromus,Surfent
Gorirat Terra,Jetragon,Surfent
Gorirat Terra,Paladius,Surfent
Univolt,Mossanda,Surfent
Univolt,Kingpaca Cryst,Surfent
Univolt,Xenogard,Surfent
Lunaris,Blazamut,Surfent
Lunaris,Blazamut Ryu,Surfent
Lunaris,Bellanoir,Surfent
Lunaris,Bellanoir Libero,Surfent
Gobfin,Suzaku Aqua,Surfent
Gobfin Ignis,Blazamut,Surfent
Gobfin Ignis,Blazamut Ryu,Surfent
Jormuntide,Dinossom Lux,Surfent
Jormuntide,Chillet,Surfent
Jormuntide,Croajiro,Surfent
Jormuntide,Celesdir,Surfent
Jormuntide,Loupmoon Cryst,Surfent
Jormuntide Ignis,Dinossom Lux,Surfent
Jormuntide Ignis,Arsox,Surfent
Jormuntide Ignis,Chillet,Surfent
Jormuntide Ignis,Chillet Ignis,Surfent
Jormuntide Ignis,Croajiro,Surfent
Jormuntide Ignis,Loupmoon Cryst,Surfent
Loupmoon,Cryolinx Terra,Surfent
Loupmoon,Bastigor,Surfent
Suzaku,Beegarde,Surfent
Suzaku Aqua,Cawgnito,Surfent
Pyrin,Tombat,Surfent
Pyrin,Foxcicle,Surfent
Pyrin Noct,Reindrix,Surfent
Pyrin Noct,Celaray,Surfent
Cryolinx,Fenglope,Surfent
Cryolinx,Verdash,Surfent
Melpaca,Reptyro Cryst,Surfent
Melpaca,Beakon,Surfent
Melpaca,Silvegis,Surfent
Surfent,Surfent,Surfent
Surfent,Surfent Terra,Surfent
Surfent,Sootseer,Surfent
Azurobe,Vanwyrm Cryst,Surfent
Fenglope,Orserk,Surfent
Reptyro,Arsox,Surfent
Reptyro,Chillet,Surfent
Reptyro,Chillet Ignis,Surfent
Reptyro,Croajiro,Surfent
Reptyro,Loupmoon Cryst,Surfent
Reptyro Cryst,Reindrix,Surfent
Reptyro Cryst,Dumud,Surfent
Robinquill,Frostallion Noct,Surfent
Robinquill,Jetragon,Surfent
Robinquill Terra,Frostallion,Surfent
Relaxaurus,Kitsun,Surfent
Relaxaurus,Broncherry Aqua,Surfent
Relaxaurus,Tarantriss,Surfent
Relaxaurus,Fenglope Lux,Surfent
Relaxaurus Lux,Broncherry Aqua,Surfent
Relaxaurus Lux,Caprity Noct,Surfent
Relaxaurus Lux,Fenglope Lux,Surfent
Kitsun,Mammorest Cryst,Surfent
Kitsun,Warsect Terra,Surfent
Leezpunk,Bellanoir,Surfent
Leezpunk,Bellanoir Libero,Surfent
Vanwyrm,Sibelyx,Surfent
Vanwyrm,Wumpo,Surfent
Vanwyrm,Xenovader,Surfent
Vanwyrm Cryst,Cinnamoth,Surfent
Dinossom,Mammorest,Surfent
Dinossom,Mammorest Cryst,Surfent
Dinossom Lux,Mammorest,Surfent
Frostallion,Verdash,Surfent
Frostallion Noct,Felbat,Surfent
Mammorest,Celesdir,Surfent
Mammorest,Tarantriss,Surfent
Mammorest,Loupmoon Cryst,Surfent
Mammorest Cryst,Celesdir,Surfent
Mammorest Cryst,Tarantriss,Surfent
Mammorest Cryst,Fenglope Lux,Surfent
Broncherry,Lyleen,Surfent
Broncherry,Menasting,Surfent
Broncherry,Menasting Terra,Surfent
Broncherry,Knocklem,Surfent
Broncherry,Xenolord ,Surfent
Broncherry,Faleris Aqua,Surfent
Broncherry Aqua,Warsect Terra,Surfent
Broncherry Aqua,Knocklem,Surfent
Broncherry Aqua,Xenolord ,Surfent
Faleris,Tombat,Surfent
Faleris,Rayhound,Surfent
Faleris,Kitsun Noct,Surfent
Blazamut,Dazzi Noct,Surfent
Blazamut Ryu,Dazzi Noct,Surfent
Caprity,Helzephyr,Surfent
Caprity,Helzephyr Lux,Surfent
Reindrix,Faleris Aqua,Surfent
Shadowbeak,Vaelet,Surfent
Sibelyx,Blazehowl Noct,Surfent
Sibelyx,Dogen,Surfent
Sibelyx,Dazemu,Surfent
Lovander,Helzephyr Lux,Surfent
Lovander,Bastigor,Surfent
Mozzarina,Lyleen Noct,Surfent
Mozzarina,Silvegis,Surfent
Wumpo,Bushi Noct,Surfent
Wumpo,Dogen,Surfent
Wumpo Botan,Bushi,Surfent
Wumpo Botan,Omascul,Surfent
Vaelet,Necromus,Surfent
Nitewing,Katress,Surfent
Nitewing,Katress Ignis,Surfent
Nitewing,Nitemary,Surfent
Lyleen,Celaray,Surfent
Lyleen,Caprity Noct,Surfent
Lyleen Noct,Dumud,Surfent
Lyleen Noct,Lullu,Surfent
Elizabee,Arsox,Surfent
Elizabee,Chillet Ignis,Surfent
Elizabee,Petallia,Surfent
Elizabee,Croajiro,Surfent
Tombat,Prixter,Surfent
Tombat,Starryon,Surfent
Mossanda,Katress Ignis,Surfent
Mossanda,Dazemu,Surfent
Mossanda Lux,Shroomer,Surfent
Mossanda Lux,Shroomer Noct,Surfent
Mossanda Lux,Splatterina,Surfent
Mossanda Lux,Kitsun Noct,Surfent
Rayhound,Ragnahawk,Surfent
Rayhound,Starryon,Surfent
Foxcicle,Quivern,Surfent
Foxcicle,Selyne,Surfent
Foxcicle,Prixter,Surfent
Foxcicle,Starryon,Surfent
Blazehowl,Sweepa,Surfent
Blazehowl,Azurmane,Surfent
Blazehowl Noct,Kingpaca Cryst,Surfent
Blazehowl Noct,Xenogard,Surfent
Kingpaca,Bushi,Surfent
Kingpaca,Bushi Noct,Surfent
Kingpaca Cryst,Dogen,Surfent
Kingpaca Cryst,Dazemu,Surfent
Sweepa,Katress,Surfent
Sweepa,Nitemary,Surfent
Katress Ignis,Xenogard,Surfent
Beakon,Dumud,Surfent
Beakon,Lullu,Surfent
Warsect ,Petallia,Surfent
Warsect Terra,Fenglope Lux,Surfent
Quivern Botan,Petallia,Surfent
Helzephyr Lux,Yakumo,Surfent
Ragnahawk,Shroomer Noct,Surfent
Ragnahawk,Splatterina,Surfent
Ragnahawk,Kitsun Noct,Surfent
Bushi,Xenovader,Surfent
Bushi Noct,Xenovader,Surfent
Celaray,Menasting Terra,Surfent
Celaray,Faleris Aqua,Surfent
Petallia,Selyne,Surfent
Cinnamoth,Omascul,Surfent
Menasting,Caprity Noct,Surfent
Menasting Terra,Caprity Noct,Surfent
Dumud,Silvegis,Surfent
Bellanoir,Kikit,Surfent
Bellanoir,Dazzi Noct,Surfent
Bellanoir Libero,Kikit,Surfent
Bellanoir Libero,Dazzi Noct,Surfent
Lullu,Silvegis,Surfent
Shroomer,Azurmane,Surfent
Knocklem,Caprity Noct,Surfent
Yakumo,Cryolinx Terra,Surfent
Yakumo,Bastigor,Surfent
Dazemu,Xenogard,Surfent
Xenolord ,Caprity Noct,Surfent
Nitemary,Azurmane,Surfent
Splatterina,Azurmane,Surfent
Surfent,Dumud,Surfent Terra
Surfent Terra,Surfent Terra,Surfent Terra
Prunelia,Foxparks,Cawgnito
Prunelia,Sparkit,Cawgnito
Prunelia,Flambelle,Cawgnito
Mau,Univolt,Cawgnito
Mau,Blazehowl Noct,Cawgnito
Mau,Dazemu,Cawgnito
Mau Cryst,Blazehowl,Cawgnito
Mau Cryst,Shroomer,Cawgnito
Mau Cryst,Splatterina,Cawgnito
Rushoar,Galeclaw,Cawgnito
Rushoar,Gorirat Terra,Cawgnito
Rushoar,Robinquill,Cawgnito
Lifmunk,Shroomer,Cawgnito
Lifmunk,Shroomer Noct,Cawgnito
Lifmunk,Splatterina,Cawgnito
Lifmunk,Kitsun Noct,Cawgnito
Tocotoco,Dinossom,Cawgnito
Tocotoco,Dinossom Lux,Cawgnito
Tocotoco,Celesdir,Cawgnito
Tocotoco,Tarantriss,Cawgnito
Eikthyrdeer,Daedream,Cawgnito
Eikthyrdeer,Gumoss,Cawgnito
Eikthyrdeer,Smokie,Cawgnito
Eikthyrdeer Terra,Kelpsea,Cawgnito
Eikthyrdeer Terra,Tanzee,Cawgnito
Digtoise,Swee,Cawgnito
Digtoise,Ribbuny,Cawgnito
Digtoise,Foxparks Cryst,Cawgnito
Galeclaw,Leezpunk,Cawgnito
Galeclaw,Kikit,Cawgnito
Teafant,Vanwyrm,Cawgnito
Teafant,Blazehowl Noct,Cawgnito
Teafant,Dogen,Cawgnito
Teafant,Dazemu,Cawgnito
Direhowl,Gobfin,Cawgnito
Direhowl,Gobfin Ignis,Cawgnito
Gorirat,Lunaris,Cawgnito
Gorirat,Leezpunk,Cawgnito
Gorirat,Dazzi Noct,Cawgnito
Gorirat Terra,Leezpunk,Cawgnito
Gorirat Terra,Kikit,Cawgnito
Jolthog,Arsox,Cawgnito
Jolthog,Chillet Ignis,Cawgnito
Jolthog,Petallia,Cawgnito
Jolthog,Croajiro,Cawgnito
Jolthog Cryst,Arsox,Cawgnito
Jolthog Cryst,Chillet,Cawgnito
Jolthog Cryst,Chillet Ignis,Cawgnito
Jolthog Cryst,Croajiro,Cawgnito
Jolthog Cryst,Loupmoon Cryst,Cawgnito
Univolt,Lamball,Cawgnito
Foxparks,Tombat,Cawgnito
Bristla,Kitsun,Cawgnito
Bristla,Broncherry Aqua,Cawgnito
Bristla,Fenglope Lux,Cawgnito
Lunaris,Vaelet,Cawgnito
Pengullet,Dinossom Lux,Cawgnito
Pengullet,Chillet,Cawgnito
Pengullet,Celesdir,Cawgnito
Pengullet,Loupmoon Cryst,Cawgnito
Dazzi,Loupmoon,Cawgnito
Dazzi,Lovander,Cawgnito
Dazzi,Yakumo,Cawgnito
Gobfin,Beegarde,Cawgnito
Gobfin Ignis,Vaelet,Cawgnito
Lamball,Katress Ignis,Cawgnito
Loupmoon,Mimog,Cawgnito
Loupmoon,Ribbuny Botan,Cawgnito
Hangyu,Rayhound,Cawgnito
Hangyu,Shroomer Noct,Cawgnito
Hangyu,Kitsun Noct,Cawgnito
Hangyu Cryst,Rayhound,Cawgnito
Hangyu Cryst,Shroomer Noct,Cawgnito
Hangyu Cryst,Kitsun Noct,Cawgnito
Melpaca,Kelpsea,Cawgnito
Melpaca,Kelpsea Ignis,Cawgnito
Cawgnito,Cawgnito,Cawgnito
Cawgnito,Beegarde,Cawgnito
Cattiva,Katress,Cawgnito
Cattiva,Katress Ignis,Cawgnito
Cattiva,Nitemary,Cawgnito
Depresso,Petallia,Cawgnito
Fenglope,Nox,Cawgnito
Maraith,Robinquill Terra,Cawgnito
Maraith,Felbat,Cawgnito
Robinquill,Leezpunk Ignis,Cawgnito
Robinquill Terra,Wixen,Cawgnito
Robinquill Terra,Wixen Noct,Cawgnito
Robinquill Terra,Rooby,Cawgnito
Kitsun,Fuack,Cawgnito
Leezpunk Ignis,Felbat,Cawgnito
Fuack,Dinossom,Cawgnito
Fuack,Tarantriss,Cawgnito
Fuack,Fenglope Lux,Cawgnito
Vanwyrm,Chikipi,Cawgnito
Chikipi,Bushi Noct,Cawgnito
Chikipi,Dogen,Cawgnito
Sparkit,Tombat,Cawgnito
Sparkit,Rayhound,Cawgnito
Felbat,Wixen Noct,Cawgnito
Felbat,Rooby,Cawgnito
Broncherry,Killamari,Cawgnito
Broncherry,Swee,Cawgnito
Broncherry,Foxparks Cryst,Cawgnito
Broncherry Aqua,Ribbuny,Cawgnito
Caprity,Fuddler,Cawgnito
Caprity,Daedream,Cawgnito
Reindrix,Kelpsea Ignis,Cawgnito
Reindrix,Flopie,Cawgnito
Vixy,Blazehowl,Cawgnito
Vixy,Katress,Cawgnito
Vixy,Nitemary,Cawgnito
Wixen,Verdash,Cawgnito
Lovander,Fuddler,Cawgnito
Hoocrates,Foxcicle,Cawgnito
Kelpsea,Dumud,Cawgnito
Kelpsea,Lullu,Cawgnito
Kelpsea Ignis,Dumud,Cawgnito
Killamari,Celaray,Cawgnito
Mozzarina,Tanzee,Cawgnito
Mozzarina,Gumoss,Cawgnito
Mozzarina,Smokie,Cawgnito
Vaelet,Dazzi Noct,Cawgnito
Flopie,Celaray,Cawgnito
Tombat,Flambelle,Cawgnito
Fuddler,Yakumo,Cawgnito
Foxcicle,Flambelle,Cawgnito
Tanzee,Lullu,Cawgnito
Blazehowl,Cremis,Cawgnito
Swee,Caprity Noct,Cawgnito
Katress,Cremis,Cawgnito
Ribbuny,Caprity Noct,Cawgnito
Cremis,Nitemary,Cawgnito
Lullu,Smokie,Cawgnito
Yakumo,Ribbuny Botan,Cawgnito
Foxparks Cryst,Caprity Noct,Cawgnito
Nyafia ,Quivern,Azurobe
Nyafia ,Selyne,Azurobe
Nyafia ,Prixter,Azurobe
Prunelia,Pyrin Noct,Azurobe
Prunelia,Faleris Aqua,Azurobe
Gildane,Cinnamoth,Azurobe
Anubis,Nitewing,Azurobe
Anubis,Mossanda,Azurobe
Incineram,Sweepa,Azurobe
Incineram,Azurmane,Azurobe
Incineram Noct,Nitewing,Azurobe
Incineram Noct,Sweepa,Azurobe
Eikthyrdeer,Paladius,Azurobe
Eikthyrdeer,Necromus,Azurobe
Eikthyrdeer Terra,Frostallion Noct,Azurobe
Eikthyrdeer Terra,Jetragon,Azurobe
Digtoise,Astegon,Azurobe
Digtoise,Orserk,Azurobe
Grizzbolt,Arsox,Azurobe
Grizzbolt,Chillet,Azurobe
Grizzbolt,Chillet Ignis,Azurobe
Grizzbolt,Croajiro,Azurobe
Univolt,Jormuntide,Azurobe
Univolt,Jormuntide Ignis,Azurobe
Univolt,Reptyro,Azurobe
Jormuntide,Katress Ignis,Azurobe
Jormuntide Ignis,Dazemu,Azurobe
Loupmoon,Suzaku,Azurobe
Suzaku,Lovander,Azurobe
Suzaku,Yakumo,Azurobe
Pyrin,Bushi,Azurobe
Pyrin,Omascul,Azurobe
Pyrin Noct,Tombat,Azurobe
Pyrin Noct,Foxcicle,Azurobe
Elphidran,Sibelyx,Azurobe
Elphidran,Wumpo,Azurobe
Elphidran Aqua,Wumpo,Azurobe
Elphidran Aqua,Kingpaca,Azurobe
Elphidran Aqua,Xenovader,Azurobe
Cryolinx,Broncherry,Azurobe
Cryolinx,Celaray,Azurobe
Melpaca,Frostallion Noct,Azurobe
Surfent,Mossanda,Azurobe
Surfent,Kingpaca Cryst,Azurobe
Surfent,Xenogard,Azurobe
Surfent Terra,Sibelyx,Azurobe
Surfent Terra,Kingpaca Cryst,Azurobe
Azurobe,Azurobe,Azurobe
Azurobe,Cinnamoth,Azurobe
Fenglope,Blazamut,Azurobe
Fenglope,Blazamut Ryu,Azurobe
Reptyro,Blazehowl Noct,Azurobe
Reptyro,Dazemu,Azurobe
Reptyro Cryst,Foxcicle,Azurobe
Robinquill Terra,Bellanoir,Azurobe
Robinquill Terra,Bellanoir Libero,Azurobe
Relaxaurus,Blazehowl,Azurobe
Relaxaurus,Shroomer,Azurobe
Relaxaurus Lux,Shroomer,Azurobe
Relaxaurus Lux,Shroomer Noct,Azurobe
Relaxaurus Lux,Splatterina,Azurobe
Kitsun,Cryolinx Terra,Azurobe
Kitsun,Bastigor,Azurobe
Vanwyrm,Elizabee,Azurobe
Vanwyrm,Warsect ,Azurobe
Vanwyrm,Quivern Botan,Azurobe
Vanwyrm Cryst,Faleris,Azurobe
Vanwyrm Cryst,Ragnahawk,Azurobe
Dinossom,Helzephyr Lux,Azurobe
Dinossom,Bastigor,Azurobe
Dinossom Lux,Helzephyr,Azurobe
Dinossom Lux,Helzephyr Lux,Azurobe
Frostallion,Reindrix,Azurobe
Frostallion,Celaray,Azurobe
Frostallion Noct,Dumud,Azurobe
Mammorest,Katress,Azurobe
Mammorest,Katress Ignis,Azurobe
Mammorest Cryst,Blazehowl,Azurobe
Mammorest Cryst,Katress,Azurobe
Mammorest Cryst,Nitemary,Azurobe
Broncherry,Orserk,Azurobe
Broncherry Aqua,Astegon,Azurobe
Broncherry Aqua,Cryolinx Terra,Azurobe
Faleris,Omascul,Azurobe
Blazamut,Verdash,Azurobe
Blazamut Ryu,Verdash,Azurobe
Caprity,Shadowbeak,Azurobe
Caprity,Necromus,Azurobe
Shadowbeak,Lovander,Azurobe
Sibelyx,Sootseer,Azurobe
Mozzarina,Jetragon,Azurobe
Mozzarina,Paladius,Azurobe
Wumpo Botan,Penking,Azurobe
Wumpo Botan,Grintale,Azurobe
Lyleen,Tombat,Azurobe
Lyleen,Rayhound,Azurobe
Lyleen Noct,Arsox,Azurobe
Lyleen Noct,Chillet Ignis,Azurobe
Lyleen Noct,Petallia,Azurobe
Elizabee,Blazehowl Noct,Azurobe
Elizabee,Dogen,Azurobe
Tombat,Menasting Terra,Azurobe
Tombat,Faleris Aqua,Azurobe
Rayhound,Menasting,Azurobe
Rayhound,Menasting Terra,Azurobe
Verdash,Bellanoir,Azurobe
Verdash,Bellanoir Libero,Azurobe
Jetragon,Lullu,Azurobe
Kingpaca,Penking,Azurobe
Beakon,Petallia,Azurobe
Warsect ,Bushi Noct,Azurobe
Warsect Terra,Shroomer,Azurobe
Warsect Terra,Splatterina,Azurobe
Chillet,Helzephyr,Azurobe
Quivern,Bushi,Azurobe
Quivern,Bushi Noct,Azurobe
Quivern Botan,Bushi Noct,Azurobe
Helzephyr,Loupmoon Cryst,Azurobe
Helzephyr Lux,Celesdir,Azurobe
Bushi,Prixter,Azurobe
Bushi Noct,Selyne,Azurobe
Petallia,Silvegis,Azurobe
Grintale,Cinnamoth,Azurobe
Menasting,Shroomer Noct,Azurobe
Menasting,Kitsun Noct,Azurobe
Orserk,Caprity Noct,Azurobe
Shroomer Noct,Knocklem,Azurobe
Shroomer Noct,Xenolord ,Azurobe
Knocklem,Splatterina,Azurobe
Knocklem,Kitsun Noct,Azurobe
Xenolord ,Splatterina,Azurobe
Xenolord ,Kitsun Noct,Azurobe
Starryon,Omascul,Azurobe
Tarantriss,Bastigor,Azurobe
Cryolinx Terra,Fenglope Lux,Azurobe
Mau,Mau Cryst,Cattiva
Lifmunk,Teafant,Cattiva
Lamball,Vixy,Cattiva
Lamball,Cremis,Cattiva
Hangyu,Chikipi,Cattiva
Hangyu Cryst,Chikipi,Cattiva
Cattiva,Cattiva,Cattiva
Cattiva,Cremis,Cattiva
Mau,Killamari,Depresso
Mau,Flopie,Depresso
Mau Cryst,Bristla,Depresso
Mau Cryst,Fuack,Depresso
Lifmunk,Tocotoco,Depresso
Lifmunk,Fuack,Depresso
Tocotoco,Hangyu,Depresso
Tocotoco,Hangyu Cryst,Depresso
Teafant,Kelpsea Ignis,Depresso
Teafant,Flopie,Depresso
Jolthog,Foxparks,Depresso
Jolthog,Hoocrates,Depresso
Jolthog Cryst,Foxparks,Depresso
Jolthog Cryst,Sparkit,Depresso
Jolthog Cryst,Flambelle,Depresso
Bristla,Vixy,Depresso
Pengullet,Hangyu,Depresso
Pengullet,Sparkit,Depresso
Pengullet,Flambelle,Depresso
Lamball,Killamari,Depresso
Lamball,Swee,Depresso
Hangyu Cryst,Fuack,Depresso
Cattiva,Swee,Depresso
Cattiva,Ribbuny,Depresso
Cattiva,Foxparks Cryst,Depresso
Depresso,Depresso,Depresso
Depresso,Hoocrates,Depresso
Chikipi,Kelpsea,Depresso
Chikipi,Kelpsea Ignis,Depresso
Vixy,Ribbuny,Depresso
Vixy,Foxparks Cryst,Depresso
Swee,Cremis,Depresso
Ribbuny,Cremis,Depresso
Cremis,Foxparks Cryst,Depresso
Nyafia ,Bristla,Fenglope
Nyafia ,Killamari,Fenglope
Nyafia ,Swee,Fenglope
Nyafia ,Ribbuny,Fenglope
Nyafia ,Foxparks Cryst,Fenglope
Prunelia,Dazzi,Fenglope
Prunelia,Woolipop,Fenglope
Prunelia,Nox,Fenglope
Prunelia,Mimog,Fenglope
Prunelia,Ribbuny Botan,Fenglope
Gildane,Mau Cryst,Fenglope
Gildane,Lifmunk,Fenglope
Gildane,Cattiva,Fenglope
Gildane,Vixy,Fenglope
Gildane,Cremis,Fenglope
Anubis,Jolthog,Fenglope
Anubis,Foxparks,Fenglope
Anubis,Depresso,Fenglope
Anubis,Hoocrates,Fenglope
Incineram,Jolthog,Fenglope
Incineram,Jolthog Cryst,Fenglope
Incineram,Pengullet,Fenglope
Incineram,Depresso,Fenglope
Incineram Noct,Jolthog,Fenglope
Incineram Noct,Jolthog Cryst,Fenglope
Incineram Noct,Depresso,Fenglope
Incineram Noct,Hoocrates,Fenglope
Mau,Wumpo,Fenglope
Mau,Wumpo Botan,Fenglope
Mau,Kingpaca,Fenglope
Mau,Cinnamoth,Fenglope
Mau,Xenovader,Fenglope
Mau Cryst,Elphidran Aqua,Fenglope
Mau Cryst,Azurobe,Fenglope
Mau Cryst,Penking,Fenglope
Mau Cryst,Grintale,Fenglope
Rushoar,Kitsun,Fenglope
Rushoar,Dinossom,Fenglope
Rushoar,Dinossom Lux,Fenglope
Rushoar,Broncherry Aqua,Fenglope
Rushoar,Celesdir,Fenglope
Rushoar,Tarantriss,Fenglope
Rushoar,Loupmoon Cryst,Fenglope
Rushoar,Fenglope Lux,Fenglope
Lifmunk,Elphidran,Fenglope
Lifmunk,Elphidran Aqua,Fenglope
Lifmunk,Penking,Fenglope
Lifmunk,Grintale,Fenglope
Tocotoco,Vanwyrm Cryst,Fenglope
Tocotoco,Omascul,Fenglope
Eikthyrdeer,Galeclaw,Fenglope
Eikthyrdeer,Gorirat,Fenglope
Eikthyrdeer,Gorirat Terra,Fenglope
Eikthyrdeer,Robinquill,Fenglope
Eikthyrdeer,Vaelet,Fenglope
Eikthyrdeer Terra,Direhowl,Fenglope
Eikthyrdeer Terra,Gorirat,Fenglope
Eikthyrdeer Terra,Vaelet,Fenglope
Eikthyrdeer Terra,Beegarde,Fenglope
Digtoise,Lunaris,Fenglope
Digtoise,Gobfin,Fenglope
Digtoise,Gobfin Ignis,Fenglope
Digtoise,Leezpunk,Fenglope
Digtoise,Dazzi Noct,Fenglope
Galeclaw,Caprity,Fenglope
Galeclaw,Lovander,Fenglope
Galeclaw,Mozzarina,Fenglope
Galeclaw,Lullu,Fenglope
Teafant,Sibelyx,Fenglope
Teafant,Wumpo,Fenglope
Teafant,Wumpo Botan,Fenglope
Teafant,Kingpaca,Fenglope
